Index,Category,SubCategory,Questions,Answers,rationale,Wrong
118,Symbols and Holidays,Recent American History,Name one example of an American innovation.,"Light bulb, Automobile (cars, internal combustion engine), Skyscrapers, Airplane, Assembly line, Landing on the moon, Integrated circuit (IC)","The United States has a rich history of innovation, leading to many inventions that have significantly impacted the world. These innovations demonstrate American ingenuity and its contribution to global progress. Here are some key examples:  * Light bulb: Invented by Thomas Edison, it revolutionized lighting and extended productive hours.
  * Automobile (cars, internal combustion engine): Pioneered by figures like Henry Ford, it transformed transportation and manufacturing.
  * Skyscrapers: American architects and engineers led the development of these tall buildings, changing urban landscapes.
  * Airplane: Invented by the Wright brothers, it ushered in the era of air travel.
  * Assembly line: Developed by Henry Ford, it dramatically increased efficiency in manufacturing.
  * Landing on the moon: A monumental achievement of the Apollo program, showcasing American scientific and engineering prowess.
  * Integrated circuit (IC): A foundational invention of the electronics age, enabling the development of computers and modern technology.","Pyramids, Great Wall of China (ancient defense structure), Colosseum, Printing press, Compass, Gunpowder, Silk Road (trade route)
Movable type, Paper (writing material), Porcelain, Rockets, Abacus, Astrolabe, Seismograph (earthquake detector)
Ziggurat, Parthenon (ancient Greek temple), Aqueduct, Stirrup, Wheelbarrow, Water mill, Sundial (time-telling device)"
119,Symbols and Holidays,Symbols,What is the capital of the United States?,"Washington, D.C.","Washington, D.C. is the capital of the United States. It is a federal district, not part of any state, and was established in 1790 to serve as the permanent seat of the U.S. government.","New York, N.Y.
Los Angeles, C.A.
Chicago, I.L."
120,Symbols and Holidays,Symbols,Where is the Statue of Liberty?,"New York (Harbor), Liberty Island [Also acceptable are New Jersey, near New York City, and on the Hudson (River).]","The Statue of Liberty is located in New York Harbor, specifically on Liberty Island. It is a famous symbol of freedom and democracy, gifted to the United States by France.","Los Angeles (Beach), Hollywood Hills [Also acceptable are Las Vegas, near San Francisco, and on the Colorado (River).]
Chicago (Loop), Millennium Park [Also acceptable are Miami, near Washington D.C., and on the Mississippi (River).]
Boston (Harbor), Freedom Trail [Also acceptable are Philadelphia, near Atlanta, and on the Potomac (River).]"
121,Symbols and Holidays,Symbols,Why does the flag have 13 stripes? *,"(Because there were) 13 original colonies, (Because the stripes) represent the original colonies",The 13 stripes on the flag represent the original 13 British colonies that declared independence and formed the United States.,"(Because there were) 13 founding fathers, (Because the stripes) represent the 13 virtues
(Because there were) 13 states in the union, (Because the stripes) signify 13 years of independence
(Because there were) 13 historical events, (Because the stripes) commemorate 13 heroes"
122,Symbols and Holidays,Symbols,Why does the flag have 50 stars?,"(Because there is) one star for each state, (Because) each star represents a state, (Because there are) 50 states",The American flag has 50 stars because each star represents one of the 50 states of the United States of America. This design ensures that every state is symbolized on the national flag.,"(Because it is) one star for each stripe, (Because) each star represents a color, (Because there are) 50 stripes
(Because there is) one star for each original colony, (Because) each star represents a president, (Because there are) 50 colors
(Because there is) one star for each historical event, (Because) each star represents a military victory, (Because there are) 50 amendments"
123,Symbols and Holidays,Symbols,What is the name of the national anthem?,The Star-Spangled Banner,"The Star-Spangled Banner is the national anthem of the United States. Its lyrics come from ""Defence of Fort M'Henry"", a poem written by Francis Scott Key in 1814 after witnessing the bombardment of Fort McHenry in Baltimore during the War of 1812.","America the Beautiful
God Bless America
My Country, 'Tis of Thee"
124,Symbols and Holidays,Holidays,The Nation’s first motto was “E Pluribus Unum.” What does that mean?,"Out of many, one, We all become one","The phrase ""E Pluribus Unum"" is Latin for ""Out of many, one."" It was the motto adopted by the Great Seal of the United States in 1782. This motto signifies the unity of the individual states into one cohesive nation. The idea is that while there are many states, they come together to form a single country.","From many, to one, We are all one
One nation, under God, indivisible
For the people, by the people, of the people"
125,Symbols and Holidays,Holidays,What is Independence Day?,"A holiday to celebrate U.S. independence (from Britain), The country’s birthday","Independence Day is a U.S. holiday celebrated annually on July 4th. It commemorates the adoption of the Declaration of Independence on July 4, 1776, which declared the country's independence from Great Britain. It's often referred to as America's birthday and is celebrated with fireworks, parades, and other festivities.","A holiday to celebrate U.S. Constitution (ratification), The country’s founding
A holiday to celebrate U.S. veterans (of all wars), The country’s heroes day
A holiday to celebrate U.S. presidents (Washington, Lincoln), The country’s leaders"
126,Symbols and Holidays,Holidays,Name three national U.S. holidays. *,"New Year’s Day, Martin Luther King, Jr. Day, Presidents Day (Washington’s Birthday), Memorial Day, Juneteenth, Independence Day, Labor Day, Columbus Day, Veterans Day, Thanksgiving Day, Christmas Day","The United States observes a number of national holidays throughout the year, celebrating various historical events, figures, and cultural traditions. These days are often marked by closures of federal offices, banks, and schools, allowing people time for remembrance, celebration, or relaxation. The list provided includes many of these widely recognized holidays.","April Fools' Day, Valentine's Day, Halloween, St. Patrick's Day, Mother's Day, Father's Day, Flag Day, Election Day, Groundhog Day, Sweetest Day, Pearl Harbor Day
Bastille Day, Canada Day, Australia Day, Guy Fawkes Night, Boxing Day, Kwanzaa, Diwali, Eid al-Fitr, Rosh Hashanah, Chinese New Year, New Year's Eve
Arbor Day, Earth Day, National Pet Day, National Donut Day, Pi Day, Talk Like a Pirate Day, Star Wars Day, National Waffle Day, Pancake Day, National Coffee Day, National Pizza Day"
127,Symbols and Holidays,Holidays,What is Memorial Day?,A holiday to honor soldiers who died in military service,Memorial Day is a federal holiday in the United States observed on the last Monday of May. It is a day of remembrance for those who have died in military service for the United States.,"A holiday to celebrate the signing of the Declaration of Independence
A day to remember those who served in the armed forces and returned home
A celebration of the end of World War II"
128,Symbols and Holidays,Holidays,What is Veterans Day?,"A holiday to honor people in the (U.S.) military, A holiday to honor people who have served (in the U.S. military)","Veterans Day is a U.S. holiday on November 11th that honors all who have served in the U.S. military. Originally called Armistice Day, it marked the end of World War I.","A holiday to honor people who work (in the U.S. government), A holiday to honor people who vote (in the U.S. elections)
A holiday to honor people who teach (in the U.S. schools), A holiday to honor people who invent (in the U.S. industries)
A holiday to honor people who sing (in the U.S. concerts), A holiday to honor people who paint (in the U.S. museums)"
